==7567== NVPROF is profiling process 7567, command: ./MN
==7567== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7567== Profiling application: ./MN


 Processing Done !!! 

==7567== Profiling result:
==7567== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X2 (0)"
    Kernel: executeEleventhLayer_PSC(double*, double*, double*, double*, double*, double*, double*)
          1                 warp_execution_efficiency                             Warp Execution Efficiency      98.00%      98.00%      98.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      97.82%      97.82%      97.82%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000429    0.000429    0.000429
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request   17.428923   17.428923   17.428923
          1              gst_transactions_per_request                 Global Store Transactions Per Request   31.360000   31.360000   31.360000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions    29001728    29001728    29001728
          1                          gst_transactions                             Global Store Transactions      200704      200704      200704
          1                  sysmem_read_transactions                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                  L2 Read Transactions    23818338    23818338    23818338
          1                     l2_write_transactions                                 L2 Write Transactions      200733      200733      200733
          1                           global_hit_rate                     Global Hit Rate in unified l1/tex      18.00%      18.00%      18.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  13.939GB/s  13.939GB/s  13.939GB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  107.96MB/s  107.96MB/s  107.96MB/s
          1                            gld_throughput                                Global Load Throughput  49.972GB/s  49.972GB/s  49.972GB/s
          1                            gst_throughput                               Global Store Throughput  431.84MB/s  431.84MB/s  431.84MB/s
          1                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                Unified Cache Hit Rate      17.87%      17.87%      17.87%
          1                      tex_cache_throughput                              Unified Cache Throughput  27.412GB/s  27.412GB/s  27.412GB/s
          1                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  49.972GB/s  49.972GB/s  49.972GB/s
          1                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  431.84MB/s  431.84MB/s  431.84MB/s
          1                        l2_read_throughput                                 L2 Throughput (Reads)  50.047GB/s  50.047GB/s  50.047GB/s
          1                       l2_write_throughput                                L2 Throughput (Writes)  431.91MB/s  431.91MB/s  431.91MB/s
          1                    sysmem_read_throughput                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                     local_load_throughput                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                         Global Memory Load Efficiency      27.89%      27.89%      27.89%
          1                            gst_efficiency                        Global Memory Store Efficiency      25.00%      25.00%      25.00%
          1                    tex_cache_transactions                            Unified Cache Transactions    13045760    13045760    13045760
          1                             flop_count_dp           Floating Point Operations(Double Precision)    54190080    54190080    54190080
          1                         flop_count_dp_add       Floating Point Operations(Double Precision Add)      200704      200704      200704
          1                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)    26894336    26894336    26894336
          1                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)      200704      200704      200704
          1                             flop_count_sp           Floating Point Operations(Single Precision)      401408      401408      401408
          1                         flop_count_sp_add       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma       Floating Point Operations(Single Precision FMA)      200704      200704      200704
          1                         flop_count_sp_mul        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special   Floating Point Operations(Single Precision Special)      200704      200704      200704
          1                             inst_executed                                 Instructions Executed     3564800     3564800     3564800
          1                               inst_issued                                   Instructions Issued     3566330     3566330     3566330
          1                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       0.37%       0.37%       0.37%
          1                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)       2.05%       2.05%       2.05%
          1                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      12.70%      12.70%      12.70%
          1                             stall_texture                         Issue Stall Reasons (Texture)      40.00%      40.00%      40.00%
          1                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                           Issue Stall Reasons (Other)      44.53%      44.53%      44.53%
          1          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.02%       0.02%       0.02%
          1                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.01%       0.01%       0.01%
          1                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                                inst_fp_32                               FP Instructions(Single)      802816      802816      802816
          1                                inst_fp_64                               FP Instructions(Double)    27697152    27697152    27697152
          1                              inst_integer                                  Integer Instructions     8228864     8228864     8228864
          1                          inst_bit_convert                              Bit-Convert Instructions           0           0           0
          1                              inst_control                             Control-Flow Instructions      802816      802816      802816
          1                        inst_compute_ld_st                               Load/Store Instructions    52383744    52383744    52383744
          1                                 inst_misc                                     Misc Instructions    21676032    21676032    21676032
          1           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                           Issue Slots     3444619     3444619     3444619
          1                                 cf_issued                      Issued Control-Flow Instructions       32000       32000       32000
          1                               cf_executed                    Executed Control-Flow Instructions       32000       32000       32000
          1                               ldst_issued                        Issued Load/Store Instructions     6592256     6592256     6592256
          1                             ldst_executed                      Executed Load/Store Instructions     1689600     1689600     1689600
          1                       atomic_transactions                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)    23782400    23782400    23782400
          1                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.31%       0.31%       0.31%
          1                        stall_not_selected                    Issue Stall Reasons (Not Selected)       0.01%       0.01%       0.01%
          1                 l2_tex_write_transactions                      L2 Transactions (Texture Writes)      200704      200704      200704
          1                             flop_count_hp             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                 HP Instructions(Half)           0           0           0
          1                             sm_efficiency                               Multiprocessor Activity      99.98%      99.98%      99.98%
          1                        achieved_occupancy                                    Achieved Occupancy    0.756255    0.756255    0.756255
          1                                       ipc                                          Executed IPC    0.114781    0.114781    0.114781
